Title,Author,Length,Rating
1. The Let Them Theory,Mel Robbins,Not Yet Known,Not rated yet
2. Quicksilver,Callie Hart,20 hrs and 41 mins,"7,955 "
3. Defiance of the Fall 14,"TheFirstDefier, JF Brink",21 hrs and 54 mins,6 
4. How My Neighbor Stole Christmas,Meghan Quinn,13 hrs and 26 mins,"3,289 "
5. The Boyfriend,Freida McFadden,9 hrs and 20 mins,"6,019 "
6. Fourth Wing,Rebecca Yarros,21 hrs and 22 mins,"38,041 "
7. Onyx Storm,Rebecca Yarros,14 hrs and 15 mins,Not rated yet
8. The Housemaid,Freida McFadden,9 hrs and 46 mins,"29,271 "
9. Iron Flame,Rebecca Yarros,28 hrs and 16 mins,"28,308 "
10. 48 Laws of Power,Robert Greene,23 hrs and 6 mins,"24,914 "
11. Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,7 hrs and 52 mins,"1,592 "
12. A Court of Mist and Fury,Sarah J. Maas,23 hrs and 16 mins,"50,373 "
13. Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs and 22 mins,"1,138 "
14. Cher: Part One,Cher,15 hrs and 47 mins,745 
15. Madness,Shantel Tessier,23 hrs and 33 mins,158 
16. A Court of Wings and Ruin,Sarah J. Maas,25 hrs and 9 mins,"38,344 "
17. The Housemaid Is Watching,Freida McFadden,11 hrs and 42 mins,"8,387 "
18. Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,17 hrs and 26 mins,102 
19. Project Hail Mary,Andy Weir,16 hrs and 10 mins,"183,327 "
20. Knight of Shadows,Kel Kade,13 hrs and 18 mins,97 
21. It Ends with Us,Colleen Hoover,11 hrs and 11 mins,"84,830 "
22. Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,11 hrs and 38 mins,724 
23. The Most Wonderful Crime of the Year,Ally Carter,8 hrs and 21 mins,457 
24. The Psychology of Money,Morgan Housel,5 hrs and 54 mins,"22,097 "
25. The Locked Door,Freida McFadden,7 hrs and 25 mins,19 
26. The Housemaid's Secret,Freida McFadden,9 hrs and 44 mins,"12,447 "
27. The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins,"174,271 "
28. Queen of Shadows,Sarah J. Maas,20 hrs and 43 mins,"17,465 "
29. Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs and 27 mins,574 
30. Mark of the Fool 7,J.M. Clarke,21 hrs and 27 mins,585 
31. A Court of Silver Flames,Sarah J. Maas,26 hrs and 5 mins,"31,274 "
32. Don't Believe Everything You Think (Expanded Edition),Joseph Nguyen,2 hrs and 36 mins,82 
33. Butcher & Blackbird,Brynne Weaver,8 hrs and 43 mins,"21,431 "
34. Verity,Colleen Hoover,8 hrs and 10 mins,"126,000 "
35. Kingdom of Ash,Sarah J. Maas,33 hrs and 11 mins,"26,969 "
36. Empire of Storms,Sarah J. Maas,25 hrs and 18 mins,"25,254 "
37. Tower of Dawn,Sarah J. Maas,22 hrs and 39 mins,"20,886 "
38. That's Not My Name,Megan Lally,9 hrs and 1 min,941 
39. The Mountain Is You,Brianna Wiest,5 hrs and 44 mins,"7,873 "
40. How to Talk to Anyone,Leil Lowndes,8 hrs and 59 mins,"13,137 "
41. Can't Hurt Me,David Goggins,13 hrs and 37 mins,"202,336 "
42. Dungeon Crawler Carl,Matt Dinniman,13 hrs and 31 mins,"22,545 "
43. My Favorite Holidate,Lauren Blakely,13 hrs and 15 mins,562 
44. My Time to Stand,"Gypsy-Rose Blanchard, Melissa Moore, Michele Matrisciani",6 hrs and 35 mins,200 
45. How to Win Friends & Influence People,Dale Carnegie,7 hrs and 15 mins,"99,807 "
46. Dune,Frank Herbert,21 hrs and 2 mins,"123,918 "
47. Never Lie,Freida McFadden,7 hrs and 20 mins,"11,507 "
48. Haunting Adeline,H. D. Carlton,15 hrs and 49 mins,"16,468 "
49. A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 26 mins,"2,218 "
50. The Ritual,Shantel Tessier,16 hrs and 12 mins,"6,607 "
51. Phantasma,Kaylie Smith,13 hrs and 12 mins,"2,721 "
52. The Teacher,Freida McFadden,9 hrs and 35 mins,"10,184 "
53. The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,33 hrs and 45 mins,"16,270 "
54. Remarkably Bright Creatures,Shelby Van Pelt,11 hrs and 16 mins,"47,494 "
55. The Serpent and the Wings of Night,Carissa Broadbent,15 hrs and 4 mins,"3,928 "
56. The Four Agreements,don Miguel Ruiz,2 hrs and 31 mins,"59,268 "
57. Outlive,"Peter Attia MD, Bill Gifford - contributor",17 hrs and 7 mins,"6,637 "
58. Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,8 hrs and 22 mins,"17,734 "
59. Unfu*k Yourself,Gary John Bishop,3 hrs and 24 mins,"86,341 "
60. The Ashes and the Star-Cursed King,Carissa Broadbent,19 hrs and 27 mins,"1,686 "
61. Not Till We Are Lost,Dennis E. Taylor,11 hrs and 41 mins,"8,607 "
62. The Legend of Randidly Ghosthound 8,"Noret Flood, puddles4263",27 hrs and 13 mins,7 
63. The Briar Club,Kate Quinn,15 hrs and 3 mins,"2,851 "
"64. The Art of Letting Go: Stop Overthinking, Stop Negative Spirals, and Find Emotional Freedom",Nick Trenton,4 hrs and 54 mins,348 
65. House of Flame and Shadow (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,13 hrs and 6 mins,3 
66. Man's Search for Meaning,Viktor E. Frankl,5 hrs and 43 mins,425 
67. A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,6 hrs and 11 mins,"1,449 "
68. Extreme Ownership,"Jocko Willink, Leif Babin",9 hrs and 33 mins,"75,249 "
69. Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,6 hrs and 50 mins,"7,611 "
70. The Power of Now,Eckhart Tolle,7 hrs and 37 mins,"39,807 "
71. Does It Hurt?,H. D. Carlton,12 hrs and 7 mins,"3,142 "
72. Variation,Rebecca Yarros,15 hrs and 11 mins,"1,019 "
73. Spark of the Everflame,Penn Cole,13 hrs and 12 mins,"3,144 "
74. Carl's Doomsday Scenario,Matt Dinniman,11 hrs and 28 mins,"15,240 "
75. A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 23 mins,"1,956 "
76. When the Moon Hatched,Sarah A. Parker,20 hrs and 12 mins,"2,417 "
77. The Plight Before Christmas,Kate Stewart,10 hrs and 53 mins,"3,101 "
78. Hunting Adeline,H. D. Carlton,17 hrs and 24 mins,"10,816 "
79. Glow of the Everflame,Penn Cole,20 hrs and 50 mins,"2,233 "
80. Hillbilly Elegy,J. D. Vance,6 hrs and 49 mins,"60,582 "
81. The Christmas Fix,Lucy Score,10 hrs and 2 mins,706 
82. Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins,"27,877 "
83. Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,77 hrs and 20 mins,621 
84. The 7 Habits of Highly Effective People,Stephen R. Covey,13 hrs and 4 mins,"39,769 "
"85. I Want to Trust You, but I Don't",Lysa TerKeurst,6 hrs and 51 mins,113 
86. The Christmas Bookshop,Jenny Colgan,11 hrs and 23 mins,"2,848 "
87. This Inevitable Ruin,Matt Dinniman,Not Yet Known,Not rated yet
88. The Dungeon Anarchist's Cookbook,Matt Dinniman,16 hrs and 54 mins,"15,221 "
89. The Songbird and the Heart of Stone,Carissa Broadbent,13 hrs and 44 mins,582 
90. Credence,Penelope Douglas,16 hrs and 55 mins,"9,370 "
91. I'm Glad My Mom Died,Jennette McCurdy,6 hrs and 26 mins,"116,398 "
92. The Gate of the Feral Gods,Matt Dinniman,18 hrs and 3 mins,"13,741 "
93. I Will Teach You to Be Rich,Ramit Sethi,12 hrs and 8 mins,"9,687 "
94. The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",19 hrs and 24 mins,"1,541 "
95. A Kingdom of Flesh and Fire,Jennifer L. Armentrout,24 hrs and 21 mins,"16,041 "
96. The Inmate,Freida McFadden,8 hrs and 5 mins,"9,541 "
97. Hábitos atómicos (Español neutro),James Clear,9 hrs and 1 min,"3,587 "
98. Flock,Kate Stewart,10 hrs and 12 mins,"9,730 "
"99. Think This, Not That",Dr. Josh Axe,9 hrs and 22 mins,45 
100. Think and Grow Rich,Napoleon Hill,9 hrs and 35 mins,"32,097 "
